Year,scheme,Applications,Approvals,approval_rate,Approval_Rate
2019,Top Talent Pass Scheme,11211,1321,11.783070198911783,11.783070198911783
2019,Quality Migrant Admission Scheme,9073,4095,45.1339138102061,45.1339138102061
2019,General Employment Policy,9724,6592,67.79103249691485,67.79103249691485
2019,Technology Talent Admission Scheme,5759,1853,32.17572495224865,32.17572495224865
2019,Others,3912,4927,125.94580777096114,125.94580777096114
2020,Top Talent Pass Scheme,14519,2446,16.846890281699842,16.846890281699842
2020,Quality Migrant Admission Scheme,13730,1893,13.787327021121632,13.787327021121632
2020,General Employment Policy,10979,6273,57.13635121595774,57.13635121595774
2020,Technology Talent Admission Scheme,12341,7265,58.86881127947492,58.86881127947492
2020,Others,2320,3621,156.07758620689657,156.07758620689657
2021,Top Talent Pass Scheme,8211,5656,68.88320545609548,68.88320545609548
2021,Quality Migrant Admission Scheme,11860,1664,14.030354131534567,14.030354131534569
2021,General Employment Policy,4813,3688,76.62580511115729,76.62580511115729
2021,Technology Talent Admission Scheme,6136,2921,47.60430247718384,47.604302477183836
2021,Others,5011,6702,133.7457593294751,133.74575932947513
2022,Top Talent Pass Scheme,3856,4140,107.36514522821577,107.36514522821577
2022,Quality Migrant Admission Scheme,7389,6670,90.26931925835702,90.26931925835702
2022,General Employment Policy,7378,6687,90.6343182434264,90.6343182434264
2022,Technology Talent Admission Scheme,6795,6560,96.54157468727004,96.54157468727004
2022,Others,3982,4079,102.43596182822702,102.43596182822702
2023,Top Talent Pass Scheme,3804,6281,165.11566771819136,165.11566771819136
2023,Quality Migrant Admission Scheme,5029,5405,107.4766355140187,107.4766355140187
2023,General Employment Policy,8058,5971,74.10027302060065,74.10027302060065
2023,Technology Talent Admission Scheme,5458,1004,18.395016489556618,18.395016489556614
2023,Others,13152,4327,32.89993917274939,32.89993917274939
